game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,0,+31.000,+31.000,+59.788,+85.422,+135.049,+193.724,+101.047,+120.067,+20.186,+26.672,+31.000,+81.018,+161.976,+110.557,+21.134
0,1,+34.000,+34.000,+68.656,+99.506,+121.937,+223.906,+103.546,+118.940,+10.363,+29.584,+34.000,+89.688,+172.922,+111.243,+17.506
0,2,+36.000,+36.000,+55.946,+102.886,+115.615,+218.854,+101.736,+117.923,+12.220,+28.777,+36.000,+79.447,+166.077,+109.830,+16.846
0,3,+31.000,+31.000,+75.542,+101.651,+118.698,+203.215,+101.261,+116.723,+8.135,+24.364,+31.000,+89.112,+160.957,+108.992,+14.174
0,4,+29.000,+29.000,+80.693,+90.344,+126.722,+221.743,+100.183,+119.483,+12.175,+33.117,+29.000,+85.518,+173.243,+109.833,+20.294
0,5,+36.000,+36.000,+53.166,+84.427,+151.625,+225.154,+93.498,+109.546,+15.291,+32.611,+36.000,+68.796,+188.389,+101.522,+21.433
0,6,+31.000,+31.000,+60.504,+93.381,+108.220,+217.545,+93.715,+113.979,+11.244,+31.637,+31.000,+76.942,+157.362,+103.847,+17.951
0,7,+36.000,+36.000,+62.171,+94.248,+127.650,+217.435,+93.253,+114.564,+16.443,+26.364,+36.000,+79.620,+166.365,+103.909,+18.825
0,8,+26.000,+26.000,+64.720,+81.910,+145.008,+198.867,+98.337,+115.257,+16.317,+27.223,+26.000,+73.315,+161.909,+106.797,+20.315
0,9,+33.000,+33.000,+71.385,+98.471,+122.844,+225.317,+103.442,+122.246,+11.505,+30.799,+33.000,+92.432,+174.080,+112.844,+19.367
0,10,+34.000,+34.000,+67.852,+86.577,+118.706,+220.397,+93.486,+112.516,+12.705,+29.635,+34.000,+79.153,+162.712,+103.001,+19.523
0,11,+26.000,+26.000,+93.102,+102.248,+134.557,+224.132,+112.674,+129.286,+11.074,+29.962,+26.000,+97.675,+176.629,+120.980,+18.770
0,12,+35.000,+35.000,+62.449,+96.910,+132.545,+212.591,+99.318,+119.766,+13.611,+26.634,+35.000,+84.683,+172.568,+109.542,+17.450
0,13,+35.000,+35.000,+58.375,+64.194,+124.158,+194.725,+87.960,+106.506,+16.335,+26.904,+35.000,+64.165,+159.442,+97.233,+19.750
