game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_10.value,buyerGD_11.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerGD_5.value,buyerGD_6.value,buyerGD_7.value,buyerGD_8.value,buyerGD_9.value,buyerRE_0.value,buyerRE_1.value,buyerRE_10.value,buyerRE_11.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerRE_5.value,buyerRE_6.value,buyerRE_7.value,buyerRE_8.value,buyerRE_9.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_10.value,buyerZIC_11.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIC_5.value,buyerZIC_6.value,buyerZIC_7.value,buyerZIC_8.value,buyerZIC_9.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_10.value,buyerZIP_11.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,buyerZIP_5.value,buyerZIP_6.value,buyerZIP_7.value,buyerZIP_8.value,buyerZIP_9.value,sellerGD_0.value,sellerGD_1.value,sellerGD_10.value,sellerGD_11.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerGD_5.value,sellerGD_6.value,sellerGD_7.value,sellerGD_8.value,sellerGD_9.value,sellerRE_0.value,sellerRE_1.value,sellerRE_10.value,sellerRE_11.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerRE_5.value,sellerRE_6.value,sellerRE_7.value,sellerRE_8.value,sellerRE_9.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_10.value,sellerZIC_11.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIC_5.value,sellerZIC_6.value,sellerZIC_7.value,sellerZIC_8.value,sellerZIC_9.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_10.value,sellerZIP_11.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value,sellerZIP_5.value,sellerZIP_6.value,sellerZIP_7.value,sellerZIP_8.value,sellerZIP_9.value
0,10,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+99.478,+99.477,+103.665,+100.333,+101.231,+95.110,+102.061,+104.028,+104.346,+100.484,+98.105,+101.111,+98.809,+100.454,+95.860,+99.162,+100.319,+98.360,+101.391,+95.605,+104.185,+96.284,+104.686,+104.476,+101.185,+95.139,+98.867,+99.781,+95.441,+95.228,+101.744,+99.987,+97.654,+104.634,+99.428,+95.739,+96.237,+99.908,+101.761,+103.628,+95.062,+97.581,+100.862,+99.324,+102.141,+100.079,+99.883,+100.981
0,11,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+102.410,+101.859,+102.501,+96.948,+100.138,+100.020,+102.422,+100.153,+97.109,+103.948,+98.435,+101.376,+102.661,+96.755,+95.545,+99.198,+96.946,+100.031,+97.888,+97.721,+103.852,+98.971,+99.214,+99.884,+96.655,+97.966,+100.461,+102.043,+101.750,+96.595,+102.099,+96.804,+104.559,+95.489,+99.412,+98.915,+96.727,+103.107,+100.695,+95.834,+101.303,+96.996,+101.401,+95.361,+99.370,+96.763,+102.393,+99.630
0,12,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+104.757,+98.623,+101.846,+103.380,+104.102,+102.426,+103.855,+100.980,+95.846,+100.159,+101.847,+100.478,+102.977,+101.227,+102.376,+95.181,+102.577,+101.709,+101.144,+95.461,+97.038,+101.733,+98.523,+101.374,+104.516,+100.315,+98.191,+99.628,+97.090,+96.595,+102.807,+102.455,+99.457,+96.704,+96.178,+103.705,+104.619,+99.609,+95.685,+99.824,+100.597,+97.903,+95.235,+100.913,+102.178,+102.755,+102.008,+100.162
0,13,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+97.662,+102.495,+100.096,+95.751,+96.211,+95.810,+98.574,+100.448,+100.395,+98.591,+95.536,+98.907,+100.939,+100.140,+97.708,+95.719,+99.442,+103.399,+102.618,+103.900,+96.939,+98.309,+99.291,+104.335,+104.993,+102.872,+101.346,+97.412,+101.081,+96.831,+103.470,+101.276,+100.304,+103.519,+98.390,+100.564,+98.046,+99.098,+95.486,+100.634,+96.893,+101.205,+97.123,+104.395,+101.190,+104.463,+99.147,+98.175
0,14,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+98.432,+99.434,+95.199,+101.910,+102.012,+95.594,+99.849,+98.314,+100.614,+97.441,+97.223,+103.247,+98.891,+104.424,+99.021,+95.880,+98.726,+96.998,+99.807,+95.283,+100.827,+100.883,+102.826,+99.260,+100.444,+102.490,+103.379,+95.807,+103.960,+95.494,+103.839,+102.265,+100.819,+101.600,+96.759,+99.888,+97.726,+103.468,+98.253,+100.282,+101.289,+102.794,+95.028,+101.267,+98.888,+103.814,+104.774,+98.352
0,15,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+102.203,+102.920,+97.234,+97.179,+101.261,+98.074,+99.994,+97.688,+101.665,+98.240,+102.596,+104.964,+101.679,+97.990,+96.818,+103.874,+97.355,+98.863,+101.076,+103.747,+98.478,+104.045,+95.780,+103.707,+97.503,+101.503,+99.471,+99.425,+96.236,+103.983,+97.959,+95.369,+102.640,+97.241,+98.609,+102.802,+96.001,+102.061,+103.295,+101.326,+103.570,+101.805,+103.318,+95.502,+96.761,+99.971,+97.336,+98.469
0,16,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+96.178,+100.078,+102.355,+104.512,+101.585,+98.400,+100.794,+99.171,+101.301,+95.600,+100.226,+96.257,+104.996,+96.674,+99.567,+103.426,+100.416,+96.667,+104.186,+99.039,+104.428,+101.270,+104.505,+104.209,+96.768,+99.879,+104.358,+104.042,+95.376,+103.560,+103.817,+97.272,+99.581,+98.009,+95.204,+102.197,+96.879,+100.321,+103.105,+95.181,+104.529,+96.234,+103.490,+104.744,+95.733,+104.322,+103.457,+96.831
0,17,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+100.590,+100.082,+100.806,+103.255,+104.976,+97.623,+96.299,+95.457,+96.643,+100.822,+101.392,+103.456,+95.083,+96.776,+97.357,+98.453,+95.637,+101.824,+102.956,+99.283,+104.266,+99.344,+98.141,+103.828,+103.929,+96.913,+100.342,+104.350,+97.115,+104.076,+100.394,+100.793,+98.915,+100.760,+97.119,+101.731,+100.441,+97.157,+104.486,+102.242,+99.759,+102.269,+98.267,+100.655,+96.222,+103.630,+98.437,+95.208
0,18,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+98.730,+103.897,+101.472,+103.136,+97.328,+96.294,+98.689,+96.536,+96.299,+99.615,+103.068,+100.070,+99.772,+98.679,+102.040,+99.892,+104.229,+96.301,+99.060,+101.473,+104.544,+99.506,+100.820,+99.900,+102.878,+100.561,+104.362,+102.677,+100.164,+98.210,+99.155,+96.006,+101.581,+103.742,+104.236,+99.825,+100.603,+98.702,+101.829,+104.937,+96.984,+100.031,+97.718,+96.756,+104.666,+102.862,+102.349,+98.182
0,19,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+102.629,+99.363,+102.030,+104.155,+100.232,+97.229,+97.425,+102.311,+102.263,+96.795,+104.273,+104.536,+102.239,+102.690,+96.054,+101.921,+103.901,+97.915,+100.596,+103.922,+97.694,+101.294,+102.710,+100.468,+98.634,+96.543,+100.451,+104.655,+97.364,+98.055,+97.267,+101.206,+99.315,+101.538,+102.837,+104.708,+95.571,+95.013,+102.826,+99.119,+96.328,+101.412,+97.943,+103.854,+102.277,+95.283,+103.142,+96.885
