game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,0,+18.000,+18.000,+100.437,+101.047,+114.508,+131.569,+106.238,+113.053,+4.021,+8.135,+18.000,+100.845,+121.309,+109.646,+5.147
0,1,+15.000,+15.000,+97.498,+98.987,+117.902,+122.255,+101.753,+105.697,+4.848,+7.809,+15.000,+98.318,+120.078,+103.725,+6.081
0,2,+17.000,+17.000,+97.180,+99.017,+102.629,+124.225,+99.425,+104.482,+1.316,+6.615,+17.000,+98.133,+113.427,+101.953,+3.821
0,3,+15.000,+15.000,+99.152,+100.069,+103.168,+107.294,+100.388,+102.045,+1.032,+2.323,+15.000,+99.610,+104.531,+101.217,+1.548
0,4,+14.000,+14.000,+96.141,+99.031,+102.449,+116.641,+100.173,+103.991,+1.438,+4.576,+14.000,+97.586,+108.042,+102.082,+2.614
0,5,+10.000,+10.000,+96.571,+96.917,+99.729,+109.923,+98.153,+100.322,+0.762,+3.301,+10.000,+96.744,+103.906,+99.237,+1.718
0,6,+18.000,+18.000,+99.907,+102.188,+105.879,+120.660,+103.380,+108.217,+1.583,+6.232,+18.000,+101.452,+113.005,+105.799,+3.621
0,7,+10.000,+10.000,+96.290,+99.266,+100.188,+117.632,+97.962,+104.410,+1.352,+4.946,+10.000,+98.068,+107.529,+101.186,+2.533
0,8,+6.000,+6.000,+96.881,+99.653,+99.028,+105.435,+97.879,+103.624,+0.858,+2.434,+6.000,+98.267,+102.161,+100.751,+1.588
0,9,+14.000,+14.000,+96.742,+99.672,+102.692,+115.581,+100.385,+103.547,+1.357,+4.446,+14.000,+98.207,+107.626,+101.966,+2.295
0,10,+17.000,+17.000,+95.623,+99.495,+106.108,+107.398,+100.131,+103.017,+2.440,+3.181,+17.000,+98.254,+106.753,+101.574,+2.478
0,11,+16.000,+16.000,+97.534,+97.740,+101.903,+105.294,+100.030,+102.210,+1.297,+2.377,+16.000,+97.637,+103.599,+101.120,+1.672
0,12,+17.000,+17.000,+96.035,+98.315,+104.112,+107.770,+99.934,+101.935,+1.800,+2.540,+17.000,+97.175,+104.864,+100.935,+1.971
0,13,+13.000,+13.000,+97.246,+98.418,+100.836,+116.064,+98.496,+101.884,+1.140,+4.564,+13.000,+98.040,+107.861,+100.190,+2.636
0,14,+18.000,+18.000,+95.889,+99.157,+105.929,+109.210,+100.532,+103.193,+2.461,+3.204,+18.000,+98.023,+107.570,+101.862,+2.702
0,15,+18.000,+18.000,+96.998,+97.984,+105.624,+119.338,+100.693,+105.262,+2.390,+6.145,+18.000,+97.491,+110.327,+102.977,+3.834
0,16,+10.000,+10.000,+97.006,+98.651,+104.547,+113.069,+99.449,+104.078,+2.351,+5.990,+10.000,+97.829,+108.808,+101.763,+3.909
0,17,+17.000,+17.000,+96.753,+98.287,+102.314,+111.069,+98.957,+102.036,+1.604,+3.853,+17.000,+97.728,+106.692,+100.497,+2.622
0,18,+15.000,+15.000,+99.570,+99.629,+101.596,+108.216,+100.285,+101.682,+0.635,+2.356,+15.000,+99.629,+104.199,+100.983,+1.283
0,19,+18.000,+18.000,+96.106,+97.534,+104.318,+110.580,+100.554,+104.571,+2.548,+3.553,+18.000,+96.820,+106.824,+102.562,+2.544
0,20,+14.000,+14.000,+96.586,+96.636,+100.449,+102.055,+98.594,+99.657,+1.170,+1.483,+14.000,+96.611,+101.252,+99.126,+1.303
0,21,+19.000,+19.000,+97.014,+97.905,+102.836,+116.310,+99.850,+103.748,+1.885,+6.194,+19.000,+97.733,+109.379,+101.799,+3.695
0,22,+9.000,+9.000,+97.708,+98.123,+98.615,+101.737,+98.110,+99.467,+0.324,+1.290,+9.000,+97.915,+100.138,+98.788,+0.734
0,23,+12.000,+12.000,+98.098,+100.456,+105.279,+106.385,+100.388,+103.182,+2.101,+2.217,+12.000,+99.643,+105.832,+101.785,+1.806
0,24,+15.000,+15.000,+96.788,+98.098,+100.628,+107.110,+98.891,+101.797,+1.251,+2.660,+15.000,+97.910,+102.745,+100.344,+1.746
0,25,+17.000,+17.000,+96.972,+98.379,+100.538,+119.387,+99.107,+105.791,+1.380,+8.140,+17.000,+97.751,+109.963,+102.449,+4.549
0,26,+14.000,+14.000,+98.703,+99.258,+101.249,+103.993,+99.793,+100.647,+0.789,+1.135,+14.000,+98.981,+102.621,+100.220,+0.890
